62.5,137.5,12.5
62.5,125,0
68.75,131.25,6.25
68.75,125,0
71.875,128.125,3.125
62.5,131.25,0
65.625,134.375,3.125
62.5,125,6.25
65.625,128.125,9.375
50,137.5,0
56.25,143.75,6.25
56.25,137.5,0
59.375,140.625,3.125
50,143.75,0
53.125,146.875,3.125
50,137.5,6.25
53.125,140.625,9.375
50,125,12.5
56.25,131.25,18.75
56.25,125,12.5
59.375,128.125,15.625
50,131.25,12.5
53.125,134.375,15.625
50,125,18.75
53.125,128.125,21.875
50,100,25
62.5,112.5,37.5
62.5,100,25
68.75,106.25,31.25
68.75,100,25
71.875,103.125,28.125
62.5,106.25,25
65.625,109.375,28.125
62.5,100,31.25
65.625,103.125,34.375
50,112.5,25
56.25,118.75,31.25
56.25,112.5,25
59.375,115.625,28.125
50,118.75,25
53.125,121.875,28.125
50,112.5,31.25
53.125,115.625,34.375
50,100,37.5
56.25,106.25,43.75
56.25,100,37.5
59.375,103.125,40.625
50,106.25,37.5
53.125,109.375,40.625
50,100,43.75
53.125,103.125,46.875
0,150,0
25,175,25
25,150,0
37.5,162.5,12.5
37.5,150,0
43.75,156.25,6.25
43.75,150,0
46.875,153.125,3.125
37.5,156.25,0
40.625,159.375,3.125
37.5,150,6.25
40.625,153.125,9.375
25,162.5,0
31.25,168.75,6.25
31.25,162.5,0
34.375,165.625,3.125
25,168.75,0
28.125,171.875,3.125
25,162.5,6.25
28.125,165.625,9.375
25,150,12.5
31.25,156.25,18.75
31.25,150,12.5
34.375,153.125,15.625
25,156.25,12.5
28.125,159.375,15.625
25,150,18.75
28.125,153.125,21.875
0,175,0
12.5,187.5,12.5
12.5,175,0
18.75,181.25,6.25
18.75,175,0
21.875,178.125,3.125
12.5,181.25,0
15.625,184.375,3.125
12.5,175,6.25
15.625,178.125,9.375
0,187.5,0
6.25,193.75,6.25
6.25,187.5,0
9.375,190.625,3.125
0,193.75,0
3.125,196.875,3.125
0,187.5,6.25
3.125,190.625,9.375
0,175,12.5
6.25,181.25,18.75
6.25,175,12.5
9.375,178.125,15.625
0,181.25,12.5
3.125,184.375,15.625
0,175,18.75
3.125,178.125,21.875
0,150,25
12.5,162.5,37.5
12.5,150,25
18.75,156.25,31.25
18.75,150,25
21.875,153.125,28.125
12.5,156.25,25
15.625,159.375,28.125
12.5,150,31.25
15.625,153.125,34.375
0,162.5,25
6.25,168.75,31.25
6.25,162.5,25
9.375,165.625,28.125
0,168.75,25
3.125,171.875,28.125
0,162.5,31.25
3.125,165.625,34.375
0,150,37.5
6.25,156.25,43.75
6.25,150,37.5
9.375,153.125,40.625
0,156.25,37.5
3.125,159.375,40.625
0,150,43.75
3.125,153.125,46.875
0,100,50
25,125,75
25,100,50
37.5,112.5,62.5
37.5,100,50
43.75,106.25,56.25
43.75,100,50
46.875,103.125,53.125
37.5,106.25,50
40.625,109.375,53.125
37.5,100,56.25
40.625,103.125,59.375
25,112.5,50
31.25,118.75,56.25
31.25,112.5,50
34.375,115.625,53.125
25,118.75,50
28.125,121.875,53.125
25,112.5,56.25
28.125,115.625,59.375
25,100,62.5
31.25,106.25,68.75
31.25,100,62.5
34.375,103.125,65.625
25,106.25,62.5
28.125,109.375,65.625
25,100,68.75
28.125,103.125,71.875
0,125,50
12.5,137.5,62.5
12.5,125,50
18.75,131.25,56.25
18.75,125,50
21.875,128.125,53.125
12.5,131.25,50
15.625,134.375,53.125
12.5,125,56.25
15.625,128.125,59.375
0,137.5,50
6.25,143.75,56.25
6.25,137.5,50
9.375,140.625,53.125
0,143.75,50
3.125,146.875,53.125
0,137.5,56.25
3.125,140.625,59.375
0,125,62.5
6.25,131.25,68.75
6.25,125,62.5
9.375,128.125,65.625
0,131.25,62.5
3.125,134.375,65.625
0,125,68.75
3.125,128.125,71.875
0,100,75
12.5,112.5,87.5
12.5,100,75
18.75,106.25,81.25
18.75,100,75
21.875,103.125,78.125
12.5,106.25,75
15.625,109.375,78.125
12.5,100,81.25
15.625,103.125,84.375
0,112.5,75
6.25,118.75,81.25
6.25,112.5,75
